date,portfolio,total_value,cumulative_return,drawdown
2018-10-31,フィルタA（予想リビジョン）,10440785.976,0.04407859760000021,-0.17122674799251938
2018-11-30,フィルタA（予想リビジョン）,10054625.976,0.00546259760000023,-0.20187952449142238
2018-12-28,フィルタA（予想リビジョン）,8430235.976,-0.15697640239999977,-0.3308210606864012
2019-01-31,フィルタA（予想リビジョン）,8239295.976,-0.17607040239999983,-0.3459775790847349
2019-02-28,フィルタA（予想リビジョン）,8612305.976,-0.1387694023999999,-0.3163686290074203
2019-03-29,フィルタA（予想リビジョン）,7393295.976,-0.26067040239999995,-0.41313173518083995
2019-04-26,フィルタA（予想リビジョン）,7131165.976,-0.2868834024,-0.4339392043740693
2019-05-31,フィルタA（予想リビジョン）,6955875.976,-0.3044124024,-0.44785345026306017
2019-06-28,フィルタA（予想リビジョン）,7117195.976,-0.2882804024000001,-0.4350481211124412
2019-07-31,フィルタA（予想リビジョン）,6830865.976,-0.3169134024000001,-0.45777654843513355
2019-08-30,フィルタA（予想リビジョン）,6696245.976,-0.3303754024000001,-0.468462473368535
2019-09-30,フィルタA（予想リビジョン）,6862275.976,-0.31377240240000004,-0.4552832717885867
2019-10-31,フィルタA（予想リビジョン）,7037225.976,-0.2962774024000001,-0.4413960145675304
2019-11-29,フィルタA（予想リビジョン）,7320605.976,-0.26793940240000014,-0.4189017536283883
2019-12-30,フィルタA（予想リビジョン）,7585435.976,-0.2414564024000001,-0.39787996266038417
2020-01-31,フィルタA（予想リビジョン）,7192508.001499999,-0.28074919985000013,-0.42906997038390593
2020-02-28,フィルタA（予想リビジョン）,6271318.001499999,-0.3728681998500001,-0.5021925910153138
2020-03-31,フィルタA（予想リビジョン）,5309378.001499999,-0.4690621998500001,-0.5785498828771191
2020-04-30,フィルタA（予想リビジョン）,5591168.001499999,-0.44088319985000013,-0.5561818336497888
2020-05-29,フィルタA（予想リビジョン）,5758688.001499999,-0.42413119985000014,-0.5428843582015387
2020-06-30,フィルタA（予想リビジョン）,5560178.001499999,-0.4439821998500002,-0.5586417713535928
2020-07-31,フィルタA（予想リビジョン）,5396288.001499999,-0.4603711998500002,-0.5716511030824234
2020-08-31,フィルタA（予想リビジョン）,5764788.001499999,-0.42352119985000025,-0.5424001497474179
2020-09-30,フィルタA（予想リビジョン）,5958708.001499999,-0.4041291998500002,-0.5270070836124808
2020-10-30,フィルタA（予想リビジョン）,4475088.001499999,-0.5524911998500002,-0.6447745174981823
2020-11-30,フィルタA（予想リビジョン）,4557818.001499999,-0.5442181998500002,-0.6382075395622121
2020-12-30,フィルタA（予想リビジョン）,4592088.001499999,-0.5407911998500001,-0.6354872405912741
2021-01-29,フィルタA（予想リビジョン）,4402888.001499999,-0.5597111998500002,-0.6505056405125307
2021-02-26,フィルタA（予想リビジョン）,4396628.001499999,-0.5603371998500002,-0.6510025495162679
2021-03-31,フィルタA（予想リビジョン）,4505368.001499999,-0.5494631998500001,-0.6423709384833004
2021-04-30,フィルタA（予想リビジョン）,4177288.0014999993,-0.5822711998500001,-0.6684134154714921
2021-05-31,フィルタA（予想リビジョン）,4153988.0014999993,-0.5846011998500001,-0.6702629330093636
2021-06-30,フィルタA（予想リビジョン）,3988688.0014999993,-0.6011311998500002,-0.6833841883316876
2021-07-30,フィルタA（予想リビジョン）,4008048.0014999993,-0.5991951998500002,-0.6818474218281172
2021-08-31,フィルタA（予想リビジョン）,4004828.0014999993,-0.5995171998500002,-0.6821030203891449
2021-09-30,フィルタA（予想リビジョン）,4091788.0014999993,-0.5908211998500001,-0.6752002716726941
2021-10-29,フィルタA（予想リビジョン）,3768288.0014999993,-0.6231711998500002,-0.7008791954281197
2021-11-30,フィルタA（予想リビジョン）,3685978.0014999993,-0.6314021998500001,-0.7074128344213472
2021-12-30,フィルタA（予想リビジョン）,3623938.0014999993,-0.6376061998500002,-0.7123374725350615
2022-01-31,フィルタA（予想リビジョン）,3540658.276499999,-0.6459341723500002,-0.718948086781268
2022-02-28,フィルタA（予想リビジョン）,3649658.276499999,-0.6350341723500001,-0.7102958373551741
2022-03-31,フィルタA（予想リビジョン）,3540268.276499999,-0.6459731723500002,-0.7189790443709577
2022-04-28,フィルタA（予想リビジョン）,3348798.276499999,-0.6651201723500001,-0.7341776333398953
2022-05-31,フィルタA（予想リビジョン）,3378108.276499999,-0.6621891723500001,-0.7318510514070622
2022-06-30,フィルタA（予想リビジョン）,3370558.276499999,-0.66294417235,-0.7324503585920806
2022-07-29,フィルタA（予想リビジョン）,2765528.276499999,-0.72344717235,-0.78047669318171
2022-08-31,フィルタA（予想リビジョン）,2815288.276499999,-0.71847117235,-0.7765268222510454
2022-09-30,フィルタA（予想リビジョン）,2742348.276499999,-0.72576517235,-0.7823166853073692
2022-10-31,フィルタA（予想リビジョン）,2762788.276499999,-0.7237211723500001,-0.7806941900938889
2022-11-30,フィルタA（予想リビジョン）,2869808.276499999,-0.7130191723500001,-0.7721991099692964
2022-12-30,フィルタA（予想リビジョン）,2574178.276499999,-0.7425821723500001,-0.7956657567384354
2023-01-31,フィルタA（予想リビジョン）,2453390.5474999994,-0.75466094525,-0.8052536976459532
2023-02-28,フィルタA（予想リビジョン）,2514480.5474999994,-0.74855194525,-0.8004044690455855
2023-03-31,フィルタA（予想リビジョン）,2518790.5474999994,-0.7481209452500002,-0.8000623479902969
2023-04-28,フィルタA（予想リビジョン）,2530050.5474999994,-0.7469949452500002,-0.7991685468110508
2023-05-31,フィルタA（予想リビジョン）,2429630.5474999994,-0.7570369452500001,-0.8071397292639715
2023-06-30,フィルタA（予想リビジョン）,2491030.5474999994,-0.7508969452500002,-0.8022658933487222
2023-07-31,フィルタA（予想リビジョン）,2574130.5474999994,-0.7425869452500002,-0.7956695453917644
2023-08-31,フィルタA（予想リビジョン）,2565470.5474999994,-0.7434529452500002,-0.7963569626397458
2023-09-29,フィルタA（予想リビジョン）,2613020.5474999994,-0.7386979452500002,-0.7925825180506562
2023-10-31,フィルタA（予想リビジョン）,2589740.5474999994,-0.7410259452500002,-0.7944304480198257
2023-11-30,フィルタA（予想リビジョン）,2651670.5474999994,-0.7348329452500002,-0.7895145415339724
2023-12-29,フィルタA（予想リビジョン）,2653790.5474999994,-0.7346209452500002,-0.7893462592515567
2024-01-31,フィルタA（予想リビジョン）,2760716.8564999993,-0.7239283143500002,-0.7808586161719273
2024-02-29,フィルタA（予想リビジョン）,2800016.8564999993,-0.7199983143500002,-0.7777390436724274
2024-03-29,フィルタA（予想リビジョン）,2857326.8564999993,-0.7142673143500002,-0.7731898655567445
2024-04-30,フィルタA（予想リビジョン）,2749916.8564999993,-0.7250083143500002,-0.7817159032710266
2024-05-31,フィルタA（予想リビジョン）,2674586.8564999993,-0.7325413143500002,-0.7876954807872436
2024-06-28,フィルタA（予想リビジョン）,2712186.8564999993,-0.7287813143500002,-0.7847108516274167
2024-07-31,フィルタA（予想リビジョン）,2579886.8564999993,-0.7420113143500002,-0.795212618591382
2024-08-30,フィルタA（予想リビジョン）,2583986.8564999993,-0.7416013143500002,-0.7948871670074648
2024-09-30,フィルタA（予想リビジョン）,2581836.8564999993,-0.7418163143500003,-0.7950578306429336
2024-10-31,フィルタA（予想リビジョン）,2363426.8564999993,-0.7636573143500002,-0.8123948746535131
2024-11-29,フィルタA（予想リビジョン）,2379226.8564999993,-0.7620773143500001,-0.811140695378905
2024-12-30,フィルタA（予想リビジョン）,2410316.8564999993,-0.7589683143500002,-0.8086728198315908
2025-01-31,フィルタA（予想リビジョン）,2415849.1724999994,-0.7584150827500002,-0.8082336732450223
2025-02-28,フィルタA（予想リビジョン）,2410779.1724999994,-0.7589220827500002,-0.8086361219109882
2025-03-31,フィルタA（予想リビジョン）,2419979.1724999994,-0.7580020827500003,-0.8079058403080519
2025-04-30,フィルタA（予想リビジョン）,2426529.1724999994,-0.7573470827500002,-0.8073859115581352
2025-05-30,フィルタA（予想リビジョン）,2490289.1724999994,-0.7509710827500002,-0.8023247425360458
2025-06-30,フィルタA（予想リビジョン）,2505989.1724999994,-0.7494010827500003,-0.8010785011049478
2025-07-31,フィルタA（予想リビジョン）,2610959.1724999994,-0.7389040827500003,-0.7927461467723141
2025-08-29,フィルタA（予想リビジョン）,2659089.1724999994,-0.7340910827500002,-0.7889256626908655
2025-09-30,フィルタA（予想リビジョン）,2726539.1724999994,-0.7273460827500002,-0.7835715872432505
2025-10-31,フィルタA（予想リビジョン）,2655839.1724999994,-0.7344160827500004,-0.7891836426049462
2025-11-28,フィルタA（予想リビジョン）,2687139.1724999994,-0.7312860827500003,-0.7866990975862606
2025-12-30,フィルタA（予想リビジョン）,2729139.1724999994,-0.7270860827500003,-0.7833652033119859
2026-01-22,フィルタA（予想リビジョン）,2691644.2889999994,-0.7308355711000003,-0.7863414884885395
2017-01-31,フィルタB（出来高）,10000000.0,,0.0
2017-02-28,フィルタB（出来高）,10318120.0,0.03181199999999995,0.0
2017-03-31,フィルタB（出来高）,10047070.0,0.004707000000000017,-0.02626932038006924
2017-04-28,フィルタB（出来高）,10396140.0,0.03961400000000004,0.0
2017-05-31,フィルタB（出来高）,12507380.0,0.2507379999999999,0.0
2017-06-30,フィルタB（出来高）,12877930.0,0.28779299999999997,0.0
2017-07-31,フィルタB（出来高）,12675750.0,0.2675750000000001,-0.015699728139537954
2017-08-31,フィルタB（出来高）,13401240.0,0.3401240000000001,0.0
2017-09-29,フィルタB（出来高）,13769880.0,0.3769880000000003,0.0
2017-10-31,フィルタB（出来高）,14906900.0,0.4906900000000005,0.0
2017-11-30,フィルタB（出来高）,15054590.0,0.5054590000000003,0.0
2017-12-29,フィルタB（出来高）,15342890.0,0.5342890000000002,0.0
2018-01-31,フィルタB（出来高）,14777344.3215,0.4777344321500001,-0.03686044014523994
2018-02-28,フィルタB（出来高）,14623064.3215,0.4623064321500001,-0.04691591209348437
2018-03-30,フィルタB（出来高）,14422174.3215,0.4422174321500001,-0.06000927325295302
