Code,Price_Now,Price_6M,Return_6M,Eq,BPS_Final,Sales,OP,SharesOut,MarketCap,PBR,OP_Margin
4617,3770.0,3565.0,5.7503506311360475,93810000000.0,1781.71,101930000000.0,12922000000.0,55000000.0,198496781182.12277,2.1159447946074277,12.677327577749436
290A,1435.0,851.0,68.62514688601644,38793000000.0,285.83,2376000000.0,-4137000000.0,131573900.0,194758965119.12674,5.020466710982053,-174.1161616161616
6315,2575.0,1821.0,41.40582097748491,63832000000.0,849.3112857452817,23449000000.0,2493000000.0,75157367.0,193530220025.0,3.0318683422891337,10.631583436393877
3097,4900.0,4330.0,13.163972286374136,43096000000.0,1099.304157507818,72299000000.0,5470000000.0,39202981.0,192094606900.0,4.4573651127714875,7.565803123141398
6055,1802.0,1518.0,18.70882740447959,59218000000.0,563.1789855055924,41732000000.0,10003000000.0,105149520.0,189479435040.0,3.199693252727211,23.96961564267229
9793,3940.0,3665.0,7.5034106412005475,82143000000.0,1711.3125,54474000000.0,11307000000.0,48000000.0,189120000000.0,2.3023264307366422,20.75669126555788
6490,7460.0,4080.0,82.84313725490196,76753000000.0,3064.9211581347254,42887000000.0,8656000000.0,25042406.0,186816348760.0,2.4339940948236554,20.183272320283535
6736,7720.0,6790.0,13.696612665684826,44941000000.0,1871.9389023401131,7402000000.0,-136000000.0,24007728.0,185339660160.0,4.1240662237155385,-1.837341259119157
2160,3145.0,2632.0,19.49088145896656,51842000000.0,903.93,26840000000.0,-3471000000.0,55682069.0,180371367251.88898,3.4792517119688475,-12.932190760059612
7826,6900.0,2725.0,153.21100917431193,67344000000.0,2652.420853926382,43900000000.0,7443000000.0,25389636.0,175188488399.99997,2.601397131147541,16.954441913439634
9708,1454.0,986.0,47.46450304259635,47258000000.0,397.7946127946128,41973000000.0,2564000000.0,118800000.0,172735200000.0,3.655152566761183,6.10868891906702
1723,10380.0,5140.0,101.94552529182879,44305000000.0,2702.348276913693,29874000000.0,7916000000.0,16395000.0,170180100000.0,3.8411037128992214,26.497958090647384
1952,3735.0,3150.0,18.571428571428573,76394000000.0,1679.37,104674000000.0,8844000000.0,48564450.0,169903946122.65314,2.2240483038282215,8.449089554235053
7972,3380.0,2385.0,41.719077568134175,56813000000.0,1147.78,153682000000.0,13685000000.0,53382850.0,167303786439.9101,2.9448152084894317,8.904751369711482
9726,1578.0,1542.0,2.3346303501945442,58742000000.0,554.65,233359000000.0,6375000000.0,27331013.0,167123187595.78113,2.8450374109798973,2.731842354483864
3433,2722.0,2124.0,28.154425612052727,68072000000.0,1112.2875816993464,42621000000.0,9528000000.0,61200000.0,166586400000.0,2.4472088377012575,22.355177025410008
9960,4040.0,3265.0,23.73660030627871,69575000000.0,1689.28,123195000000.0,12208000000.0,41964000.0,166392190755.82498,2.3915514301951126,9.909493080076302
7730,1538.0,1310.0,17.404580152671745,54689000000.0,511.0964966054264,7828000000.0,2255000000.0,107003277.0,164571040026.0,3.0092164791091442,28.80684721512519
6941,8910.0,3305.0,169.59152798789714,44203000000.0,2393.89,39595000000.0,9312000000.0,21829775.0,164522484324.67657,3.7219755293685175,23.518120974870566
9716,1333.0,1071.0,24.46311858076564,57851000000.0,482.507475525492,121216000000.0,9954000000.0,119896588.0,159822151804.0,2.762651497882491,8.21178722280887
6745,6400.0,3870.0,65.37467700258397,64536000000.0,2587.85,75812000000.0,7877000000.0,26400000.0,159603686457.87042,2.4730954267055667,10.390175697778716
4975,5900.0,4620.0,27.7056277056277,51071000000.0,1925.0319704723142,21514000000.0,8887000000.0,26529949.0,156526699100.0,3.064884163223747,41.30798549781537
186A,1070.0,695.0,53.956834532374096,10417000000.0,76.77538942302377,4415000000.0,-7137000000.0,135681500.0,145179205000.0,13.93675770375348,-161.65345413363534
2175,1657.0,1625.0,1.9692307692307676,43975000000.0,502.21786719292476,33475000000.0,4391000000.0,87561600.0,145089571200.0,3.2993648936895963,13.117251680358477
6961,15850.0,5290.0,199.6219281663516,60575000000.0,6716.64,32374000000.0,5200000000.0,9732897.0,142945542711.8321,2.3598108578098573,16.062272193735712
7721,8570.0,4205.0,103.80499405469679,42398000000.0,2547.63,39748000000.0,2038000000.0,17076439.0,142623088910.08505,3.363910771972382,5.127302002616483
6946,8370.0,4145.0,101.93003618817853,14062000000.0,838.7807556423246,19726000000.0,3371000000.0,16764810.0,140321459700.0,9.978769712700895,17.089120957112442
6227,22300.0,4325.0,415.60693641618496,12584000000.0,2002.8648734680885,14615000000.0,2857000000.0,6283000.0,140110900000.0,11.13405117609663,19.548409168662335
1965,6630.0,4610.0,43.817787418655094,59031000000.0,2877.51,69884000000.0,11288000000.0,21228604.0,136011874850.13084,2.3040753985216385,16.152481254650564
1871,2863.0,1888.0,51.64194915254237,62825000000.0,1341.85,114072000000.0,12326000000.0,47486029.0,134044770279.83755,2.1336214927152812,10.805456203099796
8153,4170.0,4010.0,3.990024937655856,59312000000.0,1852.9261719261317,78164000000.0,6151000000.0,32009910.0,133481324700.0,2.2504944142837875,7.869351619671459
9010,2428.0,2358.0,2.968617472434265,41405000000.0,754.3991555539538,40711000000.0,6991000000.0,54884738.0,133260143864.0,3.21845535234875,17.17226302473533
6284,8720.0,7220.0,20.775623268698062,59238000000.0,3951.5424743788117,11341000000.0,2586000000.0,14991108.0,130722461760.0,2.206733207738276,22.802222026276343
4971,7020.0,3240.0,116.66666666666666,30472000000.0,1668.73,20947000000.0,5748000000.0,19571093.0,128189365565.43,4.206791991514505,27.440683630114098
6524,4750.0,2995.0,58.597662771285485,23441000000.0,904.88,17454000000.0,4624000000.0,26000000.0,123049188842.71948,5.249314826275307,26.492494557121578
2588,3975.0,3485.0,14.060258249641322,29357000000.0,953.8985636413327,60572000000.0,10399000000.0,30775809.0,122333840775.0,4.1671097446946215,17.16799841510929
319A,13600.0,6630.0,105.12820512820511,9211000000.0,1029.91,14961000000.0,1432000000.0,8845978.0,121631598877.57182,13.205037333359224,9.571552703696277
4384,1886.0,1361.0,38.574577516531974,16478000000.0,259.88,17235000000.0,1126000000.0,59324511.0,119584069570.57103,7.257195628751732,6.533217290397447
