date,portfolio_value,total_value,peak,drawdown,daily_return
2022-09-05,8877150.0,9344368.421052633,19144631.57894737,-0.5119065946754346,0.01130680458879696
2022-09-06,8855920.0,9322021.05263158,19144631.57894737,-0.5130738863169007,-0.002391533318689132
2022-09-07,8644650.0,9099631.578947369,19144631.57894737,-0.5246901701177739,-0.02385635823268506
2022-09-08,8802820.0,9266126.315789474,19144631.57894737,-0.5159934899985704,0.018296865691497022
2022-09-09,9111730.0,9591294.736842105,19144631.57894737,-0.4990086543431167,0.035092163647558294
2022-09-12,9243700.0,9730210.52631579,19144631.57894737,-0.49175253197268437,0.014483528374962917
2022-09-13,8976330.0,9448768.421052633,19144631.57894737,-0.5064533688157735,-0.02892456483875494
2022-09-14,8914650.0,9383842.105263159,19144631.57894737,-0.5098447276686057,-0.006871405128822228
2022-09-15,8924520.0,9394231.578947369,19144631.57894737,-0.5093020442724083,0.0011071662936850135
2022-09-16,8808370.0,9271968.421052633,19144631.57894737,-0.5156883336815598,-0.013014705552791606
2022-09-20,8684430.0,9141505.263157895,19144631.57894737,-0.5225029415969298,-0.014070707747290467
2022-09-21,8522430.0,8970978.94736842,19144631.57894737,-0.5314102070664306,-0.018654074015220345
2022-09-22,8654180.0,9109663.157894738,19144631.57894737,-0.5241661809824384,0.015459205883768146
2022-09-26,8507100.0,8954842.105263159,19144631.57894737,-0.5322530982988223,-0.016995255471922266
2022-09-27,8478950.0,8925210.52631579,19144631.57894737,-0.5338008731319485,-0.003309000717048205
2022-09-28,8300220.0,8737073.684210526,19144631.57894737,-0.543628006202096,-0.021079260993401405
2022-09-29,8402920.0,8845178.94736842,19144631.57894737,-0.5379812397593939,0.012373166012467074
2022-09-30,8224600.0,8657473.684210526,19144631.57894737,-0.5477858297502667,-0.02122119453713711
2022-10-03,8295430.0,8732031.578947369,19144631.57894737,-0.5438913753477682,0.008611968971135475
2022-10-03,7521040.0,7916884.210526316,19144631.57894737,-0.5864697537855877,-0.09335139950551086
2022-10-04,7844340.0,8257200.0,19144631.57894737,-0.5686937110307135,0.04298607639369023
2022-10-05,7858980.0,8272610.52631579,19144631.57894737,-0.5678887581512476,0.0018663138007786184
2022-10-06,7869340.0,8283515.7894736845,19144631.57894737,-0.567319133026161,0.0013182372267139808
2022-10-07,7873920.0,8288336.842105264,19144631.57894737,-0.5670673103357269,0.0005820056065692913
2022-10-11,7730320.0,8137178.947368422,19144631.57894737,-0.5749628863938772,-0.018237421767048678
2022-10-12,7427820.0,7818757.894736842,19144631.57894737,-0.5915952802489636,-0.03913162715126939
2022-10-13,7684260.0,8088694.736842106,19144631.57894737,-0.5774954089094647,0.0345242614926049
2022-10-14,7827420.0,8239389.473684211,19144631.57894737,-0.5696240254241948,0.018630291010455213
2022-10-17,7844920.0,8257810.52631579,19144631.57894737,-0.5686618208210079,0.0022357302917179744
2022-10-18,7924320.0,8341389.473684211,19144631.57894737,-0.564296161078549,0.010121199451364804
2022-10-19,7976740.0,8396568.421052633,19144631.57894737,-0.5614139459186029,0.006615078643972039
2022-10-20,8008780.0,8430294.736842105,19144631.57894737,-0.5596522867479684,0.004016678492717363
2022-10-21,7940780.0,8358715.7894736845,19144631.57894737,-0.5633911389203514,-0.008490681477078876
2022-10-24,7993120.0,8413810.52631579,19144631.57894737,-0.5605133224100202,0.006591292039320962
2022-10-25,8115680.0,8542821.05263158,19144631.57894737,-0.5537745912005014,0.015333186540424704
2022-10-26,8032460.0,8455221.05263158,19144631.57894737,-0.5583502864620561,-0.010254223922086636
2022-10-27,8054440.0,8478357.894736843,19144631.57894737,-0.5571417574804535,0.0027363970688929484
2022-10-28,8025180.0,8447557.894736843,19144631.57894737,-0.5587505635769818,-0.0036327789393179044
2022-10-31,8176080.0,8606400.0,19144631.57894737,-0.5504536107415023,0.018803316561123662
2022-11-01,8297140.0,8733831.578947369,19144631.57894737,-0.5437973542122568,0.0148066065889767
2022-11-02,8413300.0,8856105.263157895,19144631.57894737,-0.5374105149719036,0.014000004820938328
2022-11-04,8313020.0,8750547.368421054,19144631.57894737,-0.542924222263765,-0.011919223134798429
2022-11-07,8367340.0,8807726.315789474,19144631.57894737,-0.5399375391754732,0.006534328078123153
2022-11-08,8384800.0,8826105.263157895,19144631.57894737,-0.5389775338970936,0.0020866846572507036
2022-11-09,8559480.0,9009978.94736842,19144631.57894737,-0.5293730824636836,0.020832935788569706
2022-11-10,8702660.0,9160694.736842105,19144631.57894737,-0.52150059931601,0.01672765167977497
2022-11-11,8980260.0,9452905.263157895,19144631.57894737,-0.5062372851534579,0.03189829316553783
2022-11-14,8978880.0,9451452.631578948,19144631.57894737,-0.5063131618593092,-0.000153670383708171
2022-11-15,9206840.0,9691410.52631579,19144631.57894737,-0.49377920978259676,0.025388467158487416
2022-11-16,9428080.0,9924294.736842105,19144631.57894737,-0.48161474427350803,0.02402996033383875
2022-11-17,9616080.0,10122189.47368421,19144631.57894737,-0.47127791767927246,0.019940433258945678
2022-11-18,9739340.0,10251936.842105264,19144631.57894737,-0.4645006982856263,0.01281811299406832
2022-11-21,9937680.0,10460715.789473685,19144631.57894737,-0.4535953462287078,0.020364829649647698
2022-11-22,10094680.0,10625978.94736842,19144631.57894737,-0.4449629963601175,0.015798455977652726
2022-11-24,10178820.0,10714547.368421054,19144631.57894737,-0.4403367166279952,0.008335083430084156
2022-11-25,10416940.0,10965200.0,19144631.57894737,-0.4272441360502326,0.02339367431588335
2022-11-28,10539080.0,11093768.421052633,19144631.57894737,-0.42052849775119033,0.01172513233252781
2022-11-29,10444420.0,10994126.315789474,19144631.57894737,-0.42573319990762837,-0.008981808658820367
2022-11-30,10460140.0,11010673.684210528,19144631.57894737,-0.42486886525836565,0.0015051099055765071
2022-12-01,10421260.0,10969747.368421054,19144631.57894737,-0.42700660897104586,-0.0037169674593265922
2022-12-02,10341860.0,10886168.421052633,19144631.57894737,-0.4313722687135049,-0.007619040307985769
2022-12-05,10204620.0,10741705.263157895,19144631.57894737,-0.43891815212729696,-0.013270340151578242
2022-12-06,10276140.0,10816989.47368421,19144631.57894737,-0.43498575937187284,0.007008590226779576
2022-12-07,10305960.0,10848378.94736842,19144631.57894737,-0.43334616272804255,0.0029018678219643324
2022-12-08,10091420.0,10622547.368421054,19144631.57894737,-0.44514224133191105,-0.020817080601904014
2022-12-09,10245160.0,10784378.94736842,19144631.57894737,-0.4366891364351145,0.015234724151804047
2022-12-12,10314080.0,10856926.315789474,19144631.57894737,-0.4328996997921638,0.006727078932881492
2022-12-13,10430280.0,10979242.105263159,19144631.57894737,-0.42651066122700326,0.011266152676729257
2022-12-14,10137080.0,10670610.52631579,19144631.57894737,-0.4426317120643962,-0.028110462998117036
2022-12-15,10797140.0,11365410.52631579,19144631.57894737,-0.4063395537569966,0.06511342516779983
2022-12-16,10651720.0,11212336.842105264,19144631.57894737,-0.41433519909387817,-0.013468381441752109
2022-12-19,10493280.0,11045557.894736843,19144631.57894737,-0.4230467246555307,-0.014874593023474159
2022-12-20,10089980.0,10621031.578947369,19144631.57894737,-0.4452214170249733,-0.03843412164737814
2022-12-21,10099760.0,10631326.315789474,19144631.57894737,-0.44468368210959236,0.0009692784326629234
2022-12-22,10171940.0,10707305.263157895,19144631.57894737,-0.4407150004948481,0.00714670447614596
2022-12-23,9978680.0,10503873.684210528,19144631.57894737,-0.45134103830124145,-0.018999325595707273
2022-12-26,10100020.0,10631600.0,19144631.57894737,-0.44466938649834503,0.012159924960014612
