date,total_value,peak,drawdown
2019-03-11,10764757.894736843,12700831.578947369,-0.15243676543351073
2019-03-12,10912978.94736842,12700831.578947369,-0.14076658055543823
2019-03-13,11000768.421052633,12700831.578947369,-0.13385447616774362
2019-03-14,11032105.263157895,12700831.578947369,-0.13138716984134485
2019-03-15,11205389.47368421,12700831.578947369,-0.11774363717585012
2019-03-18,11237400.0,12700831.578947369,-0.1152232883217759
2019-03-19,11345410.52631579,12700831.578947369,-0.10671907931432591
2019-03-20,11454315.789473685,12700831.578947369,-0.09814442319980708
2019-03-22,11533378.94736842,12700831.578947369,-0.09191938530340747
2019-03-25,11442115.789473685,12700831.578947369,-0.09910499022442792
2019-03-26,11555126.315789474,12700831.578947369,-0.0902071062068874
2019-03-27,11797736.842105264,12700831.578947369,-0.07110516592780082
2019-03-28,11870905.263157895,12700831.578947369,-0.06534425014856056
2019-03-29,11801526.315789474,12700831.578947369,-0.07080680170962697
2019-04-01,11665684.210526315,12700831.578947369,-0.08150233014166505
2019-04-02,11325431.578947369,12700831.578947369,-0.10829212177569807
2019-04-03,11487315.789473685,12700831.578947369,-0.0955461681332097
2019-04-04,11551736.842105264,12700831.578947369,-0.09047397642425402
2019-04-05,11756273.684210528,12700831.578947369,-0.07436976774831977
2019-04-08,11722684.210526315,12700831.578947369,-0.07701443502663322
2019-04-09,11590105.263157895,12700831.578947369,-0.08745303871524371
2019-04-10,11530800.0,12700831.578947369,-0.09212243872966465
2019-04-11,11407063.157894738,12700831.578947369,-0.10186485924253608
2019-04-12,11321947.368421054,12700831.578947369,-0.108566451098519
2019-04-15,11340431.578947369,12700831.578947369,-0.10711109674542653
2019-04-16,11359789.47368421,12700831.578947369,-0.10558695286425511
2019-04-17,11229115.789473685,12700831.578947369,-0.11587554565428373
2019-04-18,11190368.421052633,12700831.578947369,-0.1189263197851114
2019-04-19,11330000.0,12700831.578947369,-0.10793242713489962
2019-04-22,11265631.578947369,12700831.578947369,-0.11300047489638058
2019-04-23,11254852.631578948,12700831.578947369,-0.11384915533918621
2019-04-24,11341115.789473685,12700831.578947369,-0.10705722542825627
2019-04-25,11462684.210526315,12700831.578947369,-0.09748553555133985
2019-04-26,11390168.421052633,12700831.578947369,-0.10319506638189453
2019-05-07,11436536.842105264,12700831.578947369,-0.09954424865673941
2019-05-08,11434000.0,12700831.578947369,-0.09974398692501697
2019-05-09,11223326.315789474,12700831.578947369,-0.11633137987649379
2019-05-10,11304905.263157895,12700831.578947369,-0.10990826129080652
2019-05-13,11265852.631578948,12700831.578947369,-0.11298307031698708
2019-05-14,11185326.315789474,12700831.578947369,-0.11932330995318169
2019-05-15,11306421.05263158,12700831.578947369,-0.10978891560353696
2019-05-16,11485736.842105264,12700831.578947369,-0.09567048655744878
2019-05-17,11826684.210526315,12700831.578947369,-0.06882599481675057
2019-05-20,11600894.736842105,12700831.578947369,-0.08660352948294314
2019-05-21,11520842.105263159,12700831.578947369,-0.0929064735918659
2019-05-22,11697168.421052633,12700831.578947369,-0.0790234207623371
2019-05-23,11624378.947368423,12700831.578947369,-0.08475450011976
2019-05-24,11663736.842105264,12700831.578947369,-0.08165565619822654
2019-05-27,11600221.05263158,12700831.578947369,-0.08665657201061847
2019-05-28,11611484.210526315,12700831.578947369,-0.08576976725104621
2019-05-29,11571221.05263158,12700831.578947369,-0.08893988706914344
2019-05-30,11328526.315789474,12700831.578947369,-0.10804845766418941
2019-05-31,11202326.315789474,12700831.578947369,-0.11798481491887394
2019-06-03,10885052.631578948,12700831.578947369,-0.14296535908548047
2019-06-04,10870557.894736843,12700831.578947369,-0.1441066022199955
2019-06-05,10873115.789473685,12700831.578947369,-0.1439052063727282
2019-06-06,10814442.105263159,12700831.578947369,-0.14852487901745345
2019-06-07,10987736.842105264,12700831.578947369,-0.13488051756246378
2019-06-10,11022000.0,12700831.578947369,-0.13218280775647517
2019-06-11,11162010.52631579,12700831.578947369,-0.12115907868444588
2019-06-12,11110842.105263159,12700831.578947369,-0.1251878244192879
2019-06-13,10950631.578947369,12700831.578947369,-0.13780200053208286
2019-06-14,11091000.0,12700831.578947369,-0.1267500926172261
2019-06-17,11106800.0,12700831.578947369,-0.12550607958534007
2019-06-18,10898947.368421054,12700831.578947369,-0.14187135695217634
2019-06-19,11069157.894736843,12700831.578947369,-0.12846983081920035
2019-06-20,11232000.0,12700831.578947369,-0.11564845733267366
2019-06-21,11304326.315789474,12700831.578947369,-0.1099538447130275
2019-06-24,11248578.94736842,12700831.578947369,-0.11434311387816304
2019-06-25,11218157.894736843,12700831.578947369,-0.1167383155185031
2019-06-26,11074010.52631579,12700831.578947369,-0.1280877588620389
2019-06-27,11141273.684210528,12700831.578947369,-0.12279179398945275
2019-06-28,11081010.52631579,12700831.578947369,-0.12753661384791218
2019-07-01,11334168.421052633,12700831.578947369,-0.10760422649490828
2019-07-02,11489368.421052633,12700831.578947369,-0.09538455418169878
2019-07-03,11408642.105263159,12700831.578947369,-0.101740540818297
2019-07-04,11441526.315789474,12700831.578947369,-0.09915140243614384
2019-07-05,11544368.421052633,12700831.578947369,-0.09105412907070315
2019-07-08,11451947.368421054,12700831.578947369,-0.09833090083616569
2019-07-09,11419010.52631579,12700831.578947369,-0.10092418316579356
2019-07-10,11559063.157894738,12700831.578947369,-0.0898971389357845
2019-07-11,11700684.210526315,12700831.578947369,-0.07874660507103147
2019-07-12,11568684.210526315,12700831.578947369,-0.089139625337421
2019-07-16,11407431.578947369,12700831.578947369,-0.10183585161021366
2019-07-17,11366484.210526315,12700831.578947369,-0.1050598427454813
2019-07-18,11097684.210526315,12700831.578947369,-0.1262238112879472
2019-07-19,11241431.578947369,12700831.578947369,-0.11490586194521867
2019-07-22,11159484.210526315,12700831.578947369,-0.1213579881632285
2019-07-23,11243052.631578948,12700831.578947369,-0.11477822836299982
2019-07-24,11206157.894736843,12700831.578947369,-0.11768313554272032
2019-07-25,11322578.94736842,12700831.578947369,-0.10851672372882347
2019-07-26,11289168.421052633,12700831.578947369,-0.11114730158572288
2019-07-29,11537736.842105264,12700831.578947369,-0.09157626645250745
2019-07-30,11460010.52631579,12700831.578947369,-0.09769604808305137
2019-07-31,11233947.368421054,12700831.578947369,-0.11549513127611202
2019-08-01,11222747.368421054,12700831.578947369,-0.11637696329871476
2019-08-02,11076894.736842105,12700831.578947369,-0.12786067054042882
2019-08-05,10894378.94736842,12700831.578947369,-0.14223105159297492
2019-08-06,11129052.631578948,12700831.578947369,-0.1237540185930635
2019-08-07,11277115.789473685,12700831.578947369,-0.11209626555741482
2019-08-08,11402378.94736842,12700831.578947369,-0.10223367056777889
2019-08-09,11343168.421052633,12700831.578947369,-0.10689561147674535
2019-08-13,11344894.736842105,12700831.578947369,-0.10675968999957737
2019-08-14,11434168.421052633,12700831.578947369,-0.09973072629309804
2019-08-15,11188578.94736842,12700831.578947369,-0.11906721399924919
2019-08-16,11340273.684210528,12700831.578947369,-0.10712352858785038
2019-08-19,11513484.210526315,12700831.578947369,-0.09348579744882024
2019-08-20,11887957.894736843,12700831.578947369,-0.06400161116677809
2019-08-21,11829536.842105264,12700831.578947369,-0.06860139286362517
2019-08-22,11611694.736842105,12700831.578947369,-0.08575319146114764
2019-08-23,11586115.789473685,12700831.578947369,-0.08776714993382118
2019-08-26,11503684.210526315,12700831.578947369,-0.09425740046859765
2019-08-27,11613368.421052633,12700831.578947369,-0.08562141393145407
2019-08-28,11525800.0,12700831.578947369,-0.09251611373975517
2019-08-29,10837115.789473685,12700831.578947369,-0.1467396664453799
2019-08-30,11008431.578947369,12700831.578947369,-0.13325111741543652
2019-09-02,10894431.578947369,12700831.578947369,-0.1422269076455002
2019-09-03,10991315.789473685,12700831.578947369,-0.1345987291341885
2019-09-04,11006642.105263159,12700831.578947369,-0.13339201162957418
2019-09-05,11071010.52631579,12700831.578947369,-0.1283239638680932
2019-09-06,10878747.368421054,12700831.578947369,-0.143461803992942
2019-09-09,11105063.157894738,12700831.578947369,-0.125642829852003
2019-09-10,11006431.578947369,12700831.578947369,-0.13340858741947273
2019-09-11,11147473.684210528,12700831.578947369,-0.12230363697694052
2019-09-12,10948210.52631579,12700831.578947369,-0.13799262211591617
2019-09-13,10737747.368421054,12700831.578947369,-0.15456343927749444
2019-09-17,10643842.105263159,12700831.578947369,-0.16195707036174173
2019-09-18,10634052.631578948,12700831.578947369,-0.1627278445920242
2019-09-19,10735263.157894738,12700831.578947369,-0.1547590335982973
2019-09-20,10765589.47368421,12700831.578947369,-0.15237129106341157
2019-09-24,10897052.631578948,12700831.578947369,-0.14202053906126325
2019-09-25,10812368.421052633,12700831.578947369,-0.14868815054795412
2019-09-26,10773105.263157895,12700831.578947369,-0.15177953536403338
2019-09-27,10786747.368421054,12700831.578947369,-0.1507054241786074
2019-09-30,10655589.47368421,12700831.578947369,-0.16103214128540283
2019-10-01,10730273.684210528,12700831.578947369,-0.15515187981889286
2019-10-01,8092505.263157895,12700831.578947369,-0.3628365817737587
2019-10-02,8139357.894736842,12700831.578947369,-0.3591476397318369
2019-10-03,8027147.368421053,12700831.578947369,-0.3679825357477629
2019-10-04,8181052.631578947,12700831.578947369,-0.35586480454242947
2019-10-07,8343263.157894737,12700831.578947369,-0.34309315842559834
2019-10-08,8416821.05263158,12700831.578947369,-0.3373015774350457
2019-10-09,8446410.52631579,12700831.578947369,-0.3349718501648048
2019-10-10,8504936.842105264,12700831.578947369,-0.33036378057300847
2019-10-11,8080842.105263159,12700831.578947369,-0.36375488053413824
2019-10-15,8753736.842105264,12700831.578947369,-0.31077451207090456
2019-10-16,8752789.47368421,12700831.578947369,-0.3108491031254481
2019-10-17,8857315.789473685,12700831.578947369,-0.30261922344081904
2019-10-18,8954526.315789474,12700831.578947369,-0.29496535245516453
2019-10-21,9078736.842105264,12700831.578947369,-0.2851856364150213
2019-10-23,9121789.47368421,12700831.578947369,-0.28179588738076833
2019-10-24,9225894.736842105,12700831.578947369,-0.27359915927593637
2019-10-25,9348789.47368421,12700831.578947369,-0.2639230419226591
2019-10-28,9456631.578947369,12700831.578947369,-0.25543209354712787
2019-10-29,9473421.05263158,12700831.578947369,-0.2541101743027187
2019-10-30,9538263.157894738,12700831.578947369,-0.24900483101396587
2019-10-31,9373210.52631579,12700831.578947369,-0.2620002502944275
2019-11-01,9488578.94736842,12700831.578947369,-0.2529167174300233
2019-11-05,9556842.105263159,12700831.578947369,-0.24754201755541905
2019-11-06,9518684.210526315,12700831.578947369,-0.25054637947453096
2019-11-07,9504631.578947369,12700831.578947369,-0.2516528134502589
2019-11-08,9630000.0,12700831.578947369,-0.24178193056567374
2019-11-11,9843368.421052633,12700831.578947369,-0.22498236750349535
2019-11-12,9864578.94736842,12700831.578947369,-0.2233123566712168
2019-11-13,9852368.421052633,12700831.578947369,-0.22427375248533243
2019-11-14,9838368.421052633,12700831.578947369,-0.22537604251358587
2019-11-15,10092421.05263158,12700831.578947369,-0.20537320805351328
2019-11-18,10476842.105263159,12700831.578947369,-0.17510581569876482
2019-11-19,10618473.684210528,12700831.578947369,-0.1639544530445167
2019-11-20,10858842.105263159,12700831.578947369,-0.1450290449278497
2019-11-21,10719631.578947369,12700831.578947369,-0.15598978599826452
2019-11-22,10908052.631578948,12700831.578947369,-0.14115445403906413
2019-11-25,10973947.368421054,12700831.578947369,-0.13596623180081865
2019-11-26,11104894.736842105,12700831.578947369,-0.12565609048392196
2019-11-27,11212473.684210528,12700831.578947369,-0.11718586184576386
2019-11-28,11126315.789473685,12700831.578947369,-0.12396950386174467
2019-11-29,11368578.94736842,12700831.578947369,-0.10489491363599075
