date,estimated_capital,peak,drawdown
2017-08-30,17017184.589858517,17017184.589858517,0.0
2017-08-31,17038384.543302197,17038384.543302197,0.0
2017-09-01,17059584.496745877,17059584.496745877,0.0
2017-09-04,17123184.357076924,17123184.357076924,0.0
2017-09-05,17144384.310520608,17144384.310520608,0.0
2017-09-06,17165584.263964288,17165584.263964288,0.0
2017-09-07,17186784.217407968,17186784.217407968,0.0
2017-09-08,17207984.170851648,17207984.170851648,0.0
2017-09-11,17271584.03118269,17271584.03118269,0.0
2017-09-12,17292783.984626375,17292783.984626375,0.0
2017-09-13,17313983.938070055,17313983.938070055,0.0
2017-09-14,17335183.891513735,17335183.891513735,0.0
2017-09-15,17356383.84495742,17356383.84495742,0.0
2017-09-19,17441183.658732142,17441183.658732142,0.0
2017-09-20,17462383.612175826,17462383.612175826,0.0
2017-09-21,17483583.565619506,17483583.565619506,0.0
2017-09-22,17504783.519063186,17504783.519063186,0.0
2017-09-25,17568383.379394233,17568383.379394233,0.0
2017-09-26,17589583.332837913,17589583.332837913,0.0
2017-09-27,17610783.286281593,17610783.286281593,0.0
2017-09-28,17631983.239725277,17631983.239725277,0.0
2017-09-29,17653183.193168957,17653183.193168957,0.0
2017-10-02,17716783.0535,17716783.0535,0.0
2017-10-03,17731274.44938599,17731274.44938599,0.0
2017-10-04,17745765.84527198,17745765.84527198,0.0
2017-10-05,17760257.241157968,17760257.241157968,0.0
2017-10-06,17774748.637043953,17774748.637043953,0.0
2017-10-10,17832714.220587913,17832714.220587913,0.0
2017-10-11,17847205.616473902,17847205.616473902,0.0
2017-10-12,17861697.01235989,17861697.01235989,0.0
2017-10-13,17876188.40824588,17876188.40824588,0.0
2017-10-16,17919662.595903847,17919662.595903847,0.0
2017-10-17,17934153.991789836,17934153.991789836,0.0
2017-10-18,17948645.387675826,17948645.387675826,0.0
2017-10-19,17963136.783561815,17963136.783561815,0.0
2017-10-20,17977628.179447804,17977628.179447804,0.0
2017-10-23,18021102.36710577,18021102.36710577,0.0
2017-10-24,18035593.76299176,18035593.76299176,0.0
2017-10-25,18050085.15887775,18050085.15887775,0.0
2017-10-26,18064576.554763738,18064576.554763738,0.0
2017-10-27,18079067.950649727,18079067.950649727,0.0
2017-10-30,18122542.13830769,18122542.13830769,0.0
2017-10-31,18137033.53419368,18137033.53419368,0.0
2017-11-01,18151524.930079672,18151524.930079672,0.0
2017-11-02,18166016.32596566,18166016.32596566,0.0
2017-11-06,18223981.909509614,18223981.909509614,0.0
2017-11-07,18238473.305395603,18238473.305395603,0.0
2017-11-08,18252964.701281592,18252964.701281592,0.0
2017-11-09,18267456.097167585,18267456.097167585,0.0
2017-11-10,18281947.493053574,18281947.493053574,0.0
2017-11-13,18325421.680711538,18325421.680711538,0.0
2017-11-14,18339913.076597527,18339913.076597527,0.0
2017-11-15,18354404.472483516,18354404.472483516,0.0
2017-11-16,18368895.868369505,18368895.868369505,0.0
2017-11-17,18383387.264255498,18383387.264255498,0.0
2017-11-20,18426861.45191346,18426861.45191346,0.0
2017-11-21,18441352.84779945,18441352.84779945,0.0
2017-11-22,18455844.24368544,18455844.24368544,0.0
2017-11-24,18484827.035457417,18484827.035457417,0.0
2017-11-27,18528301.223115385,18528301.223115385,0.0
2017-11-28,18542792.619001374,18542792.619001374,0.0
2017-11-29,18557284.014887363,18557284.014887363,0.0
2017-11-30,18571775.41077335,18571775.41077335,0.0
2017-12-01,18586266.80665934,18586266.80665934,0.0
2017-12-04,18629740.994317308,18629740.994317308,0.0
2017-12-05,18644232.390203297,18644232.390203297,0.0
2017-12-06,18658723.786089286,18658723.786089286,0.0
2017-12-07,18673215.181975275,18673215.181975275,0.0
2017-12-08,18687706.577861264,18687706.577861264,0.0
2017-12-11,18731180.765519228,18731180.765519228,0.0
2017-12-12,18745672.16140522,18745672.16140522,0.0
2017-12-13,18760163.55729121,18760163.55729121,0.0
2017-12-14,18774654.9531772,18774654.9531772,0.0
2017-12-15,18789146.349063188,18789146.349063188,0.0
2017-12-18,18832620.53672115,18832620.53672115,0.0
2017-12-19,18847111.93260714,18847111.93260714,0.0
2017-12-20,18861603.328493133,18861603.328493133,0.0
2017-12-21,18876094.724379122,18876094.724379122,0.0
2017-12-22,18890586.12026511,18890586.12026511,0.0
2017-12-25,18934060.30792308,18934060.30792308,0.0
2017-12-26,18948551.703809064,18948551.703809064,0.0
2017-12-27,18963043.099695053,18963043.099695053,0.0
2017-12-28,18977534.495581042,18977534.495581042,0.0
2017-12-29,18992025.891467035,18992025.891467035,0.0
2018-01-04,19078974.266782966,19078974.266782966,0.0
2018-01-05,19093465.662668955,19093465.662668955,0.0
2018-01-09,19151431.246212915,19151431.246212915,0.0
2018-01-10,19165922.6420989,19165922.6420989,0.0
2018-01-11,19180414.03798489,19180414.03798489,0.0
2018-01-12,19194905.433870878,19194905.433870878,0.0
2018-01-15,19238379.62152885,19238379.62152885,0.0
2018-01-16,19252871.017414838,19252871.017414838,0.0
2018-01-17,19267362.413300823,19267362.413300823,0.0
2018-01-18,19281853.809186812,19281853.809186812,0.0
2018-01-19,19296345.2050728,19296345.2050728,0.0
2018-01-22,19339819.392730772,19339819.392730772,0.0
2018-01-23,19354310.78861676,19354310.78861676,0.0
2018-01-24,19368802.184502747,19368802.184502747,0.0
2018-01-25,19383293.580388736,19383293.580388736,0.0
2018-01-26,19397784.976274725,19397784.976274725,0.0
2018-01-29,19441259.163932692,19441259.163932692,0.0
2018-01-30,19455750.55981868,19455750.55981868,0.0
2018-01-31,19470241.95570467,19470241.95570467,0.0
2018-02-01,19484733.35159066,19484733.35159066,0.0
2018-02-02,19499224.74747665,19499224.74747665,0.0
2018-02-05,19542698.935134616,19542698.935134616,0.0
2018-02-06,19557190.331020605,19557190.331020605,0.0
2018-02-07,19571681.726906594,19571681.726906594,0.0
2018-02-08,19586173.122792587,19586173.122792587,0.0
2018-02-09,19600664.518678572,19600664.518678572,0.0
2018-02-13,19658630.10222253,19658630.10222253,0.0
2018-02-14,19673121.498108517,19673121.498108517,0.0
2018-02-15,19687612.893994506,19687612.893994506,0.0
2018-02-16,19702104.28988049,19702104.28988049,0.0
2018-02-19,19745578.477538463,19745578.477538463,0.0
2018-02-20,19760069.87342445,19760069.87342445,0.0
2018-02-21,19774561.26931044,19774561.26931044,0.0
