date,rebalance_date,value,n_stocks,valid_stocks,normalized_value,cumulative_value,daily_return,peak,drawdown,year_month
2019-11-13,2019-10-01,1.1184863554018678,20,17,1.1184863554018678,1.3738371241764593,0.001143376715480704,1.3974187337491517,-0.016875120537009698,2019-11
2019-11-14,2019-10-01,1.1122548357971458,20,17,1.1122548357971458,1.366182946786048,-0.005571386342467344,1.3974187337491517,-0.022352489063389627,2019-11
2019-11-15,2019-10-01,1.123659112028499,20,17,1.123659112028499,1.3801908226848711,0.01025329435693556,1.3974187337491517,-0.012328381356431077,2019-11
2019-11-18,2019-10-01,1.12465429670596,20,17,1.12465429670596,1.3814132083212307,0.0008856642257493164,1.3974187337491517,-0.011453635937010504,2019-11
2019-11-19,2019-10-01,1.115104270945316,20,18,1.115104270945316,1.3696829088290208,-0.008491521162205529,1.3974187337491517,-0.019847898307272693,2019-11
2019-11-20,2019-10-01,1.1070784798645918,20,18,1.1070784798645918,1.3598248272490971,-0.007197345835578517,1.3974187337491517,-0.026902391954624377,2019-11
2019-11-21,2019-10-01,1.112959359934184,20,17,1.112959359934184,1.3670483139938525,0.005312071525689355,1.3974187337491517,-0.02173322785921012,2019-11
2019-11-22,2019-10-01,1.1077480059582265,20,18,1.1077480059582265,1.360647206349743,-0.004682429712676739,1.3974187337491517,-0.026313893260006556,2019-11
2019-11-25,2019-10-01,1.1145574555938929,20,18,1.1145574555938929,1.369011255369659,0.006147110713845105,1.3974187337491517,-0.020328536961342996,2019-11
2019-11-26,2019-10-01,1.1265159874534392,20,18,1.1265159874534392,1.383699923622021,0.010729399188464717,1.3974187337491517,-0.009817250760854084,2019-11
2019-11-27,2019-10-01,1.126103037875665,20,17,1.126103037875665,1.3831926975323872,-0.0003665723188783776,1.3974187337491517,-0.010180224347356031,2019-11
2019-11-28,2019-10-01,1.1218272231198274,20,18,1.1218272231198274,1.377940712991583,-0.003797001350696605,1.3974187337491517,-0.0139385713724553,2019-11
2019-11-29,2019-10-01,1.123725976159767,20,18,1.123725976159767,1.3802729519172647,0.001692553898504201,1.3974187337491517,-0.012269609257267038,2019-11
2019-12-02,2019-10-01,1.1324585025474194,20,18,1.1324585025474194,1.3909991166856286,0.007771046120598646,1.3974187337491517,-0.004593910836088372,2019-12
2019-12-03,2019-10-01,1.1331199287654563,20,18,1.1331199287654563,1.3918115467066603,0.0005840622120361072,1.3974187337491517,-0.004012531753777067,2019-12
2019-12-04,2019-10-01,1.131038638896769,20,18,1.131038638896769,1.3892550977397458,-0.0018367780989916316,1.3974187337491517,-0.005841939722321907,2019-12
2019-12-05,2019-10-01,1.1431768621968115,20,18,1.1431768621968115,1.4041644810421021,0.010731926286693616,1.4041644810421021,0.0,2019-12
2019-12-06,2019-10-01,1.1527001947053237,20,18,1.1527001947053237,1.4158619932047516,0.008330585426835624,1.4158619932047516,0.0,2019-12
2019-12-09,2019-10-01,1.158475589164914,20,18,1.158475589164914,1.4229559119432573,0.005010317935330022,1.4229559119432573,0.0,2019-12
2019-12-10,2019-10-01,1.1571710228736598,20,17,1.1571710228736598,1.4213535127783337,-0.0011261059822544883,1.4229559119432573,-0.0011261059822544669,2019-12
2019-12-11,2019-10-01,1.1616379552550522,20,18,1.1616379552550522,1.42684024715565,0.0038602179739166687,1.42684024715565,0.0,2019-12
2019-12-12,2019-10-01,1.1627631803940783,20,18,1.1627631803940783,1.4282223615297636,0.0009686539028239682,1.4282223615297636,0.0,2019-12
2019-12-13,2019-10-01,1.1724939679260657,20,18,1.1724939679260657,1.4401746907596669,0.008368675321048125,1.4401746907596669,0.0,2019-12
2019-12-16,2019-10-01,1.1997547475980526,20,18,1.1997547475980526,1.4736591145673352,0.023250251530254173,1.4736591145673352,0.0,2019-12
2019-12-17,2019-10-01,1.2276668890515197,20,18,1.2276668890515197,1.5079436062456086,0.0232648726828113,1.5079436062456086,0.0,2019-12
2019-12-18,2019-10-01,1.2267961196922132,20,18,1.2267961196922132,1.5068740399816727,-0.0007092879730422608,1.5079436062456086,-0.000709287973042238,2019-12
2019-12-19,2019-10-01,1.2324589948021738,20,18,1.2324589948021738,1.5138297511694443,0.004615987138418154,1.5138297511694443,0.0,2019-12
2019-12-20,2019-10-01,1.2344313063400678,20,18,1.2344313063400678,1.5162523420201184,0.0016003060111631218,1.5162523420201184,0.0,2019-12
2019-12-23,2019-10-01,1.2299077819671114,20,18,1.2299077819671114,1.5106960956826727,-0.003664460184802154,1.5162523420201184,-0.0036644601848021064,2019-12
2019-12-24,2019-10-01,1.2431908950599262,20,16,1.2431908950599262,1.5270117474592084,0.010800088663208474,1.5270117474592084,0.0,2019-12
2019-12-25,2019-10-01,1.2313111384071909,20,18,1.2313111384071909,1.5124198388168844,-0.009555858798469319,1.5270117474592084,-0.009555858798469308,2019-12
2019-12-26,2019-10-01,1.2235020510170547,20,18,1.2235020510170547,1.5028279344447897,-0.0063420910820622955,1.5270117474592084,-0.015837345753664394,2019-12
2019-12-27,2019-10-01,1.2343982899575032,20,17,1.2343982899575032,1.5162117879875598,0.00890577905561396,1.5270117474592084,-0.007072610600159827,2019-12
2019-12-30,2019-10-01,1.2297896406886681,20,18,1.2297896406886681,1.5105509827150991,-0.0037335188377437545,1.5270117474592084,-0.01077972371299587,2019-12
2020-01-06,2019-10-01,1.221301374466246,20,18,1.221301374466246,1.500124842780592,-0.006902209891497257,1.5270117474592084,-0.01760752968885373,2020-01
2020-01-07,2019-10-01,1.245110284860562,20,18,1.245110284860562,1.5293693345242125,0.019494705313601646,1.5293693345242125,0.0,2020-01
