Code,FCF,CashEq,EquityRatio,MarketCap,CapGroup,TheoreticalValue,ValuationGap,CashRatio,FCFYield
80570,13018000000.0,34660000000.0,0.35323252643320907,28613520000.0,Mid,164840000000.0,4.760913022934613,1.2113154900201024,0.45495975329145105
97870,17405000000.0,71204000000.0,0.6501807136718428,42609600000.0,Mid,245254000000.0,4.755839059742406,1.6710788179189666,0.4084760241823439
78460,28124000000.0,38581000000.0,0.8119740308827943,55714360000.0,Mid,319821000000.0,4.7403692692512305,0.6924785638747354,0.5047890705376495
41140,71199000000.0,50712000000.0,0.7033946627472508,133103250000.0,Mid,762702000000.0,4.730153095435311,0.3809974587397378,0.5349155636695573
13330,41065000000.0,48422000000.0,0.4042741529423336,80754430000.0,Mid,459072000000.0,4.684790295715046,0.5996203551928978,0.5085169940522148
72460,18470000000.0,21025000000.0,0.6455350356416525,36351080000.0,Mid,205725000000.0,4.659391687949849,0.5783872171060668,0.5081004470843782
79940,24863000000.0,34611000000.0,0.6732105156808507,50529600000.0,Mid,283241000000.0,4.605447104271556,0.6849648522846015,0.4920482251986954
31050,60179000000.0,44055000000.0,0.47406849481220154,115229680000.0,Mid,645845000000.0,4.604849375612256,0.38232337363082153,0.5222526001981433
95170,25028000000.0,33613000000.0,0.47254567028725664,50964400000.0,Mid,283893000000.0,4.570417781824175,0.6595388153299165,0.49108789664942587
57030,34922000000.0,55116000000.0,0.45671451756077003,72821000000.0,Mid,404336000000.0,4.552464261682756,0.7568695843232035,0.4795594677359553
54610,30616000000.0,21439000000.0,0.8989771181931059,59184000000.0,Mid,327599000000.0,4.535262908894296,0.3622431738307651,0.5173019735063531
81300,26133000000.0,33445000000.0,0.6188492268531864,53340000000.0,Mid,294775000000.0,4.52634045744282,0.6270153730783652,0.4899325084364454
27840,30556000000.0,174813000000.0,0.3349204971230341,88658475000.0,Mid,480373000000.0,4.418241177732868,1.971757353146442,0.34464838245864254
64980,23920000000.0,28054000000.0,0.6498847144988471,49450500000.0,Mid,267254000000.0,4.40447518225296,0.5673147895370118,0.48371603927159484
48160,32704000000.0,66782000000.0,0.8021677662582469,72949500000.0,Mid,393822000000.0,4.398556535685645,0.9154552121673212,0.4483101323518324
17200,42798000000.0,39666000000.0,0.37426681005413487,86884600000.0,Mid,467646000000.0,4.382380767132496,0.456536601423037,0.4925844165709458
78680,15890000000.0,24941000000.0,0.6999359658484525,34324500000.0,Mid,183841000000.0,4.355970225349241,0.7266238401142041,0.46293463852350364
80860,30557000000.0,104919000000.0,0.25809359689605316,76738350000.0,Mid,410489000000.0,4.349202843167725,1.367230335288679,0.39819725078790463
77160,25331000000.0,45964000000.0,0.7122724860291593,56206700000.0,Mid,299274000000.0,4.324525367972146,0.8177672768548945,0.4506758091117251
72980,14091000000.0,29237000000.0,0.6174308833445719,32081310000.0,Mid,170147000000.0,4.303617589181988,0.91134059051828,0.4392276998663708
67410,13401000000.0,11206000000.0,0.6496132389196131,27504320000.0,Mid,145216000000.0,4.279752417074845,0.4074269060278531,0.4872325511046992
98870,14202203000.0,13693347000.0,0.4222833065084905,29629800000.0,Mid,155715377000.0,4.255363755408406,0.46214780390012755,0.4793215951508279
40470,21762000000.0,25225000000.0,0.523359563295079,46313680000.0,Mid,242845000000.0,4.243483135004603,0.5446554883999717,0.4698827646604632
68660,12247000000.0,16723000000.0,0.8536471684921929,26781300000.0,Mid,139193000000.0,4.197395197395197,0.6244282391071382,0.45729669582880594
91190,24730000000.0,9236000000.0,0.48794291579101706,49916670000.0,Mid,256536000000.0,4.139285132601994,0.18502836827857308,0.49542567643234214
80840,10880000000.0,38173000000.0,0.6079488634827969,28771200000.0,Mid,146973000000.0,4.108337504170837,1.3267781670559449,0.37815593371148926
46650,21757000000.0,20985000000.0,0.7453447309141346,46704330000.0,Mid,238555000000.0,4.107770521491262,0.4493159413698901,0.4658454580121372
65920,45881000000.0,139930000000.0,0.9029427576500082,117573330000.0,Mid,598740000000.0,4.092481432651436,1.1901508615942067,0.39023305710572287
59910,49662000000.0,81020000000.0,0.6100028993078979,113545980000.0,Mid,577640000000.0,4.087278299064397,0.7135435354030147,0.4373734763661382
90760,65979000000.0,74425000000.0,0.5551921348099692,144452480000.0,Mid,734215000000.0,4.082744166109159,0.5152213378406518,0.45675228282685076
21510,21008000000.0,10282000000.0,0.3929685898457964,43397410000.0,Mid,220362000000.0,4.0777684659061455,0.23692658156327762,0.48408418843428674
78620,8608000000.0,51980000000.0,0.7994425792796409,27249000000.0,Mid,138060000000.0,4.066607948915556,1.907592939190429,0.31590150097251274
72960,28555000000.0,69761000000.0,0.7729663646663526,70824050000.0,Mid,355311000000.0,4.016812791699994,0.9849902681363181,0.4031822523563676
167A0,28438000000.0,29674000000.0,0.5702770474876574,62836800000.0,Mid,314054000000.0,3.9979311486262827,0.4722391974129809,0.4525691951213302
68040,25503000000.0,56158000000.0,0.6720495982304703,62406760000.0,Mid,311188000000.0,3.9864469810642307,0.8998704627511507,0.40865765183130803
81290,28615000000.0,89543000000.0,0.3536762592120097,76303500000.0,Mid,375693000000.0,3.923666673219446,1.1735110447096135,0.37501556285098325
72790,11358000000.0,54684000000.0,0.6920363758452258,34175050000.0,Mid,168264000000.0,3.92359191866581,1.6001147035629795,0.3323477215102831
45400,39868000000.0,69237000000.0,0.6160685048136748,95094440000.0,Mid,467917000000.0,3.920550560053774,0.7280867314640057,0.4192463828589768
